Country,Alpha-2,Alpha-3,Continent,Dance
Egypt,EG,EGY,Asia,Saidi dance. Egyptian movies based in Upper Egypt (Al-Sai’d) often show two men dancing with sticks at weddings. This dance is referred to as ‘Raqs Assaya’ (stick dancing) or ‘Tahteeb’. The latter refers to the symbolic conflict between men using the sticks to demonstrate their power.
Taiwan,TW,TWN,Asia,"The Lantern Dance, also known as Denglongwu, is a traditional dance form that originated in Taiwan and is closely associated with the Lantern Festival, which is celebrated on the 15th day of the Lunar New Year. The dance is performed with colorful lanterns, symbolizing the hope for a prosperous and bright future.The dancers move in a synchronized manner, creating mesmerizing formations and patterns with their lanterns. The dance is accompanied by lively music and rhythmic beats, adding to the festive atmosphere. Dancers often incorporate spinning, twirling, and graceful movements into the choreography, showcasing their skill and coordination. The Lantern Dance is not only a visual spectacle but also serves as a cultural expression, preserving traditional customs and beliefs."
Qatar,QA,QAT,Asia,"Ardha is a folk dance, which dates back to the times when Bedouin tribes were predominant in Qatar and was performed just before a war or a fight. Today, the Ardha is a common sight at weddings, cultural events and on special occasions like the Eid - ul - Fitr, Eid - al - Adha and Qatar National Day which falls on 18 December every year today, and is an important part of Qatar’s rich cultural heritage and is deep-rooted in its traditions. The communal Ardha dance is performed by a group of men facing one each other or standing in semi circles. Each group of men stands shoulder-to-shoulder. It is a common sight to see these men holding swords in their right hands while performing this folk dance, but sometimes, you will see it being performed without the swords. Some may even hold canes or sticks while performing this Qatari ritual dance that can only be performed by men."
Hong Kong,HK,HKG,Asia,"The Dragon Dance is a popular traditional dance in Hong Kong, often performed during festive occasions such as the Chinese New Year and other cultural celebrations. The dragon is typically made of a long, flexible body with multiple sections held up by performers. It involves coordinated movements, acrobatics, and sometimes firecrackers, symbolizing good luck and prosperity."
Maldives,MV,MDV,Asia,"In Maldives, the Boduberu which means “big drums” is the famous form of dancing, it is deep-rooted to the Maldivian culture. This performance is popular entertainment to the tourists. It is performed in almost all occasion in Maldives, be it as a performance to a wedding, presentation or even the grand festivals like the Eid festivities, a traditional celebration when fishermen make a good fishing harvest -- this form of art is truly one of a kind. Boduberu is performed of at least 15 to twenty (20) artists, usually men in barefoot who wear the traditional white shirts and sarong. It is accompanied by musical instruments, one of commonly-used is the “onugandu”, a piece of instrument made of bamboo, two-sided drums which in the past was made of manta ray skin but in present times, the head is crafted with goatskin, and some are with bells and other musical tool coming together producing hypnotic beats and sound. It starts with a slow music then continue the rhythm and eventually becomes frantic until it reached the crescendo then suddenly ends. 
"
Saudi Arabia,SA,SAU,Asia,"Ardah is a type of folkloric group dance in Saudi Arabia. The dance is performed with two rows of men opposite of one another, each of whom may or may not be wielding a sword or cane, and is accompanied by drums and spoken poetry. Originally, the ""ardah"" was performed only by males of tribes of the Arabian Peninsula before going to war, but nowadays it is done at celebrations, weddings, and national and cultural events by males of all tribes, such as the Jenadriyah festival. There currently exists various types of ardah across the Arabian Peninsula."
Pakistan,PK,PAK,Asia,"Khattak Attan (Dance)  is a swift martial attan dance usually performed while carrying a sword and a handkerchief by the tribesmen from the agile Khattak tribe of Pashtuns. Khattak dance is also the National dance of Pakistan. Khattak style is men performing this dance with their weapons in their hands. A Khattak dancer performs with the zeal of a hero, displaying his physical fitness through body movements while holding one, two or even three swords at a time. Each sword weighs about 1+1⁄2 kilograms. The dance is a 5-step routine involving spins, with the swords crossed over their backs and elbows outward, or it can be performed with the swords out to the sides and typically attain half spin in place leading to a full spin. Depending on the rhythm of the beat, this spin can be completely reversed in full synchronicity. This dance is performed with the musician tuning the beat to the technique of the performers. It is performed very quickly, set to uptempo music featuring the piper, Clarion, and drums beaten with sticks. Up to forty men dance together wielding swords or handkerchiefs and performing acrobatic feats. The fast tempo of Khattak distinguishes it from other attan, which start slowly and pick up speed as the dance progresses."
Turkey,TR,TUR,Asia,"Zeybeck Dance spreads in western Anatolia, and this dance has several names, as it is called Simen in central Anatolia, and it is called the Tikka dance in Bor Dor Vithibh , and in the Zeybek region it is called the Banki dance. This dance can be performed collectively, individually or bilaterally, where male dancers bend their knees frequently between steps and it is believed that the Zeybek dance was performed for the first time by Zeybek warriors who tried to simulate the movements of falcons and eagles. The Zeybek dance begins with very slow melodies and ends with melodies on a fast scale, where it is performed on the melodies of some musical instruments such as the drum and the flute, and two drums are used, where one plays the basic rhythm while the other plays the other accompanying rhythm."
Myanmar,MM,MMR,Asia,"Burmese Dance comprises folk and classical elements corresponding to the varied forms of Burmese music. Burma's dance styles were originally influenced by neighboring cultures (Thai, Chinese and Indonesian) and its theater forms by the staging of Buddhist stories and propitiation ceremonies of spirit cults. Both genres developed distinctive forms in response to the country's rich cultural and religious mix and to changing political circumstances. The dance and music together create an ornamented, shimmering and exciting effect for the audience. There are smooth, graceful dances and livelier, more angular ones choreographed to playful but complex melodies where musicians carry on a dialogue of improvisation, which is in turn matched by the dancers, either in a group or as soloists."
Cambodia,KH,KHM,Asia,"According to Hindu mythology, Apsaras are ethereal female creatures that come down from heaven to entertain Gods and Kings with their spellbinding dance movements. Pieces of evidence state that the Apsara Dance existed even before the 7th century emerging from the Hindu and Buddhist mythology. Possessed with magnificent powers, the Apsaras would enchant the mortals and dignities with their charm, so much that King Jayavarman VII was believed to have had more than 3000 Apsaras in his court. Apsaras dance consists of slow-paced movements with more than 1500 hand gestures to mesmerize the audiences. Each hand gesture has its own distinct meaning that represents the elements of nature like flowers, rivers, oceans, animals and trees. Other hand gestures portray emotions like sorrow, laughter, shyness and love. The dance requires flexibility to carry out the intricate moves and gestures gracefully to mould the dancers into Apsaras. Apsaras are adorned with their elaborate silk costumes, a stunning embedded headdress and jewelry. "
Israel,IL,ISR,Asia,"The Horah is a circle dance common in Eastern and Southeastern Europe (known variously as the hora, khoro, horo, or oro) that predates the establishment of the State of Israel. It was introduced to Palestine by Baruch Agadati in 1924. It has become an icon of Jewish and Israeli folk dance. It can be performed to many of the traditional klezmer and Israeli folk songs — archetypally to the music of Hava Nagila. This is the most common dance done at Jewish life cycle joyous events such as weddings and Bar and Bat Mitzvahs. In its pioneer version, the horah was done at a whirling, breakneck pace. Each dancer’s arms were around the shoulders of those flanking him, with the circle spinning so fast that dancers were sometimes lifted off the ground. The dancing often continued for hours."
Angola,AO,AGO,Africa,"Kizomba is a couple dance, in which the torso and right arm of the leader will guide the follower across the dance floor. It is the goal to synchronize perfectly as a couple with the music and express it through elegant footwork, smooth body movement, and attitude, called Ginga (for women) and Banga (for men)."
Benin,BJ,BEN,Africa,"Agbadza is an Ewe music and dance that evolved from the times of war into a very popular recreational dance. It was originally practiced by the Ewe people, particularly during the Hogbetsotso Festival, a celebration by the Anlo Ewe people. This dance is usually performed in groups. Gankogui is an instrument in a form of a bell where a stick is used to play. Atoke is also an iron banana shaped bell and played with a small forged iron rod. The dance is usually played at funerals, weddings, and parties."
Botswana,BW,BWA,Africa,"Setapa is a traditional dance style which originates from the Bangweketse tribe of Kanye village and surrounding areas. Setapa involves a group of dancers dressed in stringed leather outfit stamping into the ground and gesticulating to the song played or sung by the choir or group. The word Setapa is derived from the tswana word go tapa tapa, which means to step into the ground continuously."
Burundi,BI,BDI,Africa,"Intore, sometimes called the Dance of Heroes, is a traditional dance performed by men. In pre-colonial times, intore was a war dance performed by the Tutsi military. Dance numbers were often war-themed, and the performing men carried actual weapons. Present-day intore dancers do not carry actual weapons, but instead use replicas. It is now performed at various celebrations and public ceremonies, including family gatherings and Rwandan national events. The dance is accompanied by drum ensemble (from seven to nine drums), providing strong, almost hypnotic set of rhythms. Melodic interludes are provided by the lulunga, a harp-like instrument with eight strings."
Cameroon,CM,CMR,Africa,"Bikutsi is an ethnic dance practiced by the Beti people who live mainly in Cameroon's Central Region. It is played at all sorts of Beti gatherings, including parties, funerals and weddings. Bikutsi originated from women. Each woman clapped her hands while singing to the acclamation of the other women who took up the refrains in unison, stamping their feet in rhythm. Later, men took these rhythms and infused them with various elements of traditional acoustics, consisting mainly of initiation dances and certain musical instruments."
Egypt,EG,EGY,Africa,"Saidi dance originates from the Upper Egypt region, especially from the Sa'id area. This dance involves strong body movements, especially the energetic movements of the feet and hands. Saidi's dance is often accompanied by rebaba music and playing tabla (percussion instrument). Usually a Saidi dance is lively, energetic and earthy. The dancer uses one or two sticks, originally made of bamboo. It is a martial arts dance that has two variations: altahteeb, performed by men and raqs alaSSaya, performed by women."
Ethiopia,ET,ETH,Africa,"Eskista is a traditional Ethiopian dance, native to the Amhara region, performed by both men and women usually in a group. The dance involves rolling the shoulder blades, bouncing the shoulders, and jilting the chest. It is typically performed to traditional Ethiopian music, which in itself is produced with traditional instruments such as the krar, flute, drums and masinqo. Eskista is a common sight at weddings, holiday celebrations and gatherings. It is common for money to be awarded to the one dancing the best. The money is stuck to the head of the dancer."
Gambia,GM,GMB,Africa,"Kumpo Dance is a traditional dance originating from the Mandinka tribe in Gambia. This dance involves agile and energetic body movements with fast leg movements and jumping. Kumpo Dance is often performed at celebrations, weddings or cultural festivals. The Kumpo is dressed with palm leaves and wears a stick on the head. At the start of the dance, a young lady binds a colored flag on the stick. She dances for hours with the stick and the flag on the head."
Ghana,GH,GHA,Africa,"Adowa is a dance by the Akan people of Ghana. It is a popular traditional dance in Ghana and it is performed at cultural ceremonies like festivals, funerals, engagements, and celebrations. The Adowa dance is a sign of expression that allows performers to communicate their emotions and feelings through their hands and feet. There are different hand movements performed for each setting, people will communicate positive emotions at weddings or engagements and negative emotions at funerals. Then, it was done only by women, but men also do it now. Jewelry is mainly worn around the head, shoulders, upper arms, wrists, knees, and ankles. In addition, performers also carry a handkerchief, either coloured or dark depending on the occasion. The dancers usually adorn themselves in Kente (woven patterned cloth commonly made by the inhabitants of Bonwire, a town in the Ashanti region). The occasion determines the type of Kente to be worn; funerals are usually black and white since it is a moment of mourning and grief. The cloth usually covers the breast area to the knee."
Kenya,KE,KEN,Africa,"Adumu is the world famous traditional jumping dance performed by the iconic Maasai tribe of Tanzania and Kenya, performed at special occasions like initiations, rites of passage, and weddings. This dance form involves a lot of jumping. The Morans first form a circle, wherein one Moran will enter and start jumping high. Their stance is narrow, and they ensure that their heels don’t touch the ground."
Madagascar,MG,MDG,Africa,"Salegy, the most popular dance music in Madagascar, is a music focuses on the tempo and the rhythm (Collinet). There are many instruments involved that ranges from the traditional drums to accordions to trumpets and other wind instruments. There is also a method called rumbo that involves clapping and singing that is commonly used in Salegy, along with jeejee, which is a method to speak over the beats, like rapping (Collinet). It can be danced by men or women."
Morocco,MA,MAR,Africa,"Raqs Sharqi defines itself as “classical Egyptian style” and is characterized by large movements in space, perfect control of the body, many steps on the half-toe. The dancers wear a long, figure-hugging lycra one-piece gown with strategically placed cut-outs filled in with sheer, flesh-coloured fabric. Raqs Sharqi is an integral part of the Middle Eastern culture. In Egypt, no marriage or celebration would be complete without a Raqs Sharqi performance. Almost all Egyptian women can dance, having learnt as children, not in dance classes but at home and at family gatherings. Few women, however dance for a living."
Mozambique,MZ,MOZ,Africa,"Marrabenta is a well-known style of Mozambican dance music, which combines traditional Mozambican rhythms with Portuguese folk music. The music was developed in Maputo during the 1930s and 1940s while Mozambique was still under Portuguese colonial rule and is still seen today. It is frequently performed at music concerts, festivals and celebrations."
Nigeria,NG,NGA,Africa,"Bata dance is a prominent traditional dance among the Yoruba people of southwestern Nigeria. It is a very entertaining performance done by professionals usually accompanied by music, songs, and chants. The dancers try to emulate his character by using their feet, hands, and shoulders to do the dance. The gymnastic energy of the dance; its flashes and dashes complimented by the thundering, rattling, and piercing sounds of Bata drums play tribute to Sango, the flaming god. In modern times, the Bata dance is performed primarily to entertain religious and secular ceremonies. The characteristics of the dance include the twisting of the waist, bent knees, flat foot, tilting of trunk, acrobatic steps, and expressive movements. The most significant aspect of the dance is the drumming accompaniment from the Bata drums, three drums of different sizes that make up the collective ensemble for the performance."
Somalia,SO,SOM,Africa,Buraanbur is a poetic form within traditional Somali poetry. It is usually composed by women with graceful and rhythmic body movements. This traditional Somali art form is often recited with drums and paired with a dance. It is commonly performed at weddings and other gatherings.
South Africa,ZA,ZAF,Africa,"Gumboot dance is performed by wearing wellington boots. The gumboot dance is thought to represent hope of better prospects, and symbolizes the oppressive and despicable treatment of those who were enslaved in the gold mines of Johannesburg. Sometimes dancers put bells on their gumboots to add an extra layer of sound to their performance. It is male-dominated dancers in group."
Tanzania,TZ,TZA,Africa,"Ngoma is a traditional dance that is common in Tanzania. It is a form of dance that varies among the tribes of Tanzania and involves rhythmic and energetic body movements. Ngoma is often used in religious ceremonies, harvest celebrations, or social events. It uses a large variety of instruments, including strings and horns, but most prominently the use of drums."
Uganda,UG,UGA,Africa,"Bwola the most important ceremonial dance which is performed before the chief (or in more modern times–an important guest of honor) to honor him and his guests. The dance is named after the small bwola drums (bul) that are played by the men. This dance involves agile movements with jumps, spins, and fast leg movements. Usually staged at celebrations such as weddings, festivals, or other important ceremonies."
Zambia,ZM,ZMB,Africa,"Makishi is a traditional dance originating from the Bemba tribe in Zambia. This dance involves dancers wearing costumes and masks representing spirits or mystical characters. Makishi are performed at various celebrations, initiation ceremonies, and cultural festivals. Makishi dancers perform outdoors to a group of seated tourists. It is an initiation ceremony dance. The all male dancers have painted bodies and wear masks and grass skirts. Young men beat drums and local tribal woman clap to the drum beat."
Zimbabwe,ZW,ZWE,Africa,"Mbira dance is a characteristic, traditional ritual dance, accompanied by the mbira instrument. It is designed for specific occasions, usually religious in nature, and it is used to express the people. The Mbira dance is often used to lure spirits to come out through spirit mediums and communicate with the people. This dance is carried on by the elders of the tribes, and is very powerful in its spiritual traditions."
